name         ,selector     ,type              ,hidden ,width ,editable ,decimals ,isPill ,align ,cn ,domain ,range ,sortable ,onDisplay     ,onAccept ,onValidate
ID           ,id           ,string            ,       ,      ,         ,         ,       ,      ,   ,       ,      ,         ,getFieldValue ,         ,
Block Number ,blockNumber  ,blknum            ,       ,      ,         ,         ,       ,      ,   ,       ,      ,         ,              ,         ,
Hash         ,hash         ,hash              ,       ,      ,         ,         ,       ,      ,   ,       ,      ,         ,              ,         ,
Parent Hash  ,parentHash   ,hash              ,       ,      ,         ,         ,       ,      ,   ,       ,      ,         ,              ,         ,
Timestamp    ,timestamp    ,timestamp         ,       ,      ,         ,         ,       ,      ,   ,       ,      ,         ,              ,         ,
Transactions ,transactions ,CTransactionArray ,       ,      ,         ,         ,       ,      ,   ,       ,      ,         ,              ,         ,
Difficulty   ,difficulty   ,uint64            ,       ,      ,         ,         ,       ,      ,   ,       ,      ,         ,              ,         ,
Miner        ,miner        ,address           ,       ,      ,         ,         ,       ,      ,   ,       ,      ,         ,              ,         ,
Gas Limit    ,gasLimit     ,gas               ,       ,      ,         ,         ,       ,      ,   ,       ,      ,         ,              ,         ,
Gas Used     ,gasUsed      ,gas               ,       ,      ,         ,         ,       ,      ,   ,       ,      ,         ,              ,         ,
Finalzied    ,finalized    ,bool              ,       ,      ,         ,         ,       ,      ,   ,       ,      ,         ,              ,         ,
Price        ,price        ,double            ,       ,      ,         ,2        ,       ,      ,   ,       ,      ,         ,              ,         ,
Name         ,name         ,string            ,       ,      ,         ,         ,       ,      ,   ,       ,      ,         ,              ,         ,
Light        ,light        ,bool              ,       ,      ,         ,         ,       ,      ,   ,       ,      ,         ,              ,         ,
