name             ,selector            ,type        ,hidden ,width ,editable ,decimals ,isPill ,align ,cn ,domain ,range ,sortable ,onDisplay     ,onAccept ,onValidate
ID               ,id                  ,string      ,       ,      ,         ,         ,       ,      ,   ,       ,      ,         ,getFieldValue ,         ,
Address          ,address             ,address     ,       ,      ,         ,         ,       ,      ,   ,       ,      ,         ,              ,         ,
Block Hash       ,blockHash           ,hash        ,       ,      ,         ,         ,       ,      ,   ,       ,      ,         ,              ,         ,
Block Number     ,blockNumber         ,blknum      ,       ,      ,         ,         ,       ,      ,   ,       ,      ,         ,              ,         ,
Data             ,data                ,string      ,       ,      ,         ,         ,       ,      ,   ,       ,      ,         ,              ,         ,
Log Index        ,logIndex            ,blknum      ,       ,      ,         ,         ,       ,      ,   ,       ,      ,         ,              ,         ,
Removed          ,removed             ,bool        ,       ,      ,         ,         ,       ,      ,   ,       ,      ,         ,              ,         ,
Topics           ,topics              ,CTopicArray ,       ,      ,         ,         ,       ,      ,   ,       ,      ,         ,              ,         ,
Articulated Log  ,articulatedLog      ,CFunction   ,       ,      ,         ,         ,       ,      ,   ,       ,      ,         ,              ,         ,
Compressed Log   ,compressedLog       ,string      ,       ,      ,         ,         ,       ,      ,   ,       ,      ,         ,              ,         ,
Transaction Hash ,transactionHash     ,hash        ,       ,      ,         ,         ,       ,      ,   ,       ,      ,         ,              ,         ,
Tx Index         ,transactionIndex    ,blknum      ,       ,      ,         ,         ,       ,      ,   ,       ,      ,         ,              ,         ,
Tx Log Index     ,transactionLogIndex ,blknum      ,       ,      ,         ,         ,       ,      ,   ,       ,      ,         ,              ,         ,
Type             ,type                ,string      ,       ,      ,         ,         ,       ,      ,   ,       ,      ,         ,              ,         ,
