name             ,selector         ,type         ,hidden ,width ,editable ,decimals ,isPill ,align ,cn ,domain ,range ,sortable ,onDisplay     ,onAccept ,onValidate
ID               ,id               ,string       ,       ,      ,         ,         ,       ,      ,   ,       ,      ,         ,getFieldValue ,         ,
blockHash        ,blockHash        ,hash         ,       ,      ,         ,         ,       ,      ,   ,       ,      ,         ,              ,         ,
blockNumber      ,blockNumber      ,blknum       ,       ,      ,         ,         ,       ,      ,   ,       ,      ,         ,              ,         ,
subtraces        ,subtraces        ,uint64       ,       ,      ,         ,         ,       ,      ,   ,       ,      ,         ,              ,         ,
traceAddress     ,traceAddress     ,CStringArray ,       ,      ,         ,         ,       ,      ,   ,       ,      ,         ,              ,         ,
transactionHash  ,transactionHash  ,hash         ,       ,      ,         ,         ,       ,      ,   ,       ,      ,         ,              ,         ,
transactionIndex ,transactionIndex ,blknum       ,       ,      ,         ,         ,       ,      ,   ,       ,      ,         ,              ,         ,
type             ,type             ,string       ,       ,      ,         ,         ,       ,      ,   ,       ,      ,         ,              ,         ,
error            ,error            ,string       ,       ,      ,         ,         ,       ,      ,   ,       ,      ,         ,              ,         ,
articulatedTrace ,articulatedTrace ,CFunction    ,       ,      ,         ,         ,       ,      ,   ,       ,      ,         ,              ,         ,
compressedTrace  ,compressedTrace  ,string       ,       ,      ,         ,         ,       ,      ,   ,       ,      ,         ,              ,         ,
action           ,action           ,CTraceAction ,       ,      ,         ,         ,       ,      ,   ,       ,      ,         ,              ,         ,
result           ,result           ,CTraceResult ,       ,      ,         ,         ,       ,      ,   ,       ,      ,         ,              ,         ,
