name              ,selector         ,type     ,hidden ,width ,editable ,decimals ,isPill ,align  ,cn ,domain ,range ,sortable ,onDisplay     ,onAccept ,onValidate
ID                ,id               ,string   ,true   ,1     ,         ,         ,       ,       ,   ,       ,      ,         ,getFieldValue ,         ,
Tags             ,tags            ,string   ,       ,3     ,true     ,         ,       ,       ,   ,       ,      ,         ,              ,         ,
Address           ,address          ,address  ,       ,6     ,         ,         ,       ,       ,   ,       ,      ,         ,              ,         ,
Name              ,name             ,string   ,       ,4     ,true     ,         ,       ,       ,   ,       ,      ,         ,              ,         ,
Symbol            ,symbol           ,string   ,true   ,2     ,true     ,         ,       ,center ,   ,       ,      ,         ,              ,         ,
Source            ,source           ,string   ,true   ,4     ,true     ,         ,       ,       ,   ,       ,      ,         ,              ,         ,
Decimals          ,decimals         ,uint64   ,true   ,2     ,         ,         ,       ,center ,   ,       ,      ,         ,              ,         ,
Description       ,description      ,string   ,true   ,4     ,true     ,         ,       ,       ,   ,       ,      ,         ,              ,         ,
isCustom          ,is_custom        ,bool     ,true   ,      ,         ,         ,       ,       ,   ,       ,      ,         ,              ,         ,
isPrefund         ,is_prefund       ,bool     ,true   ,      ,         ,         ,       ,       ,   ,       ,      ,         ,              ,         ,
nAppearances      ,nAppearances     ,blknum   ,       ,      ,         ,         ,       ,       ,   ,       ,      ,         ,              ,         ,
Last Export       ,lastExport       ,blknum   ,       ,      ,         ,         ,       ,       ,   ,       ,      ,         ,              ,         ,
First Appearance  ,firstAppearance  ,blknum   ,       ,      ,         ,         ,       ,       ,   ,       ,      ,         ,              ,         ,
Latest Appearance ,latestAppearance ,blknum   ,       ,      ,         ,         ,       ,       ,   ,       ,      ,         ,              ,         ,
Path              ,path             ,string   ,true   ,      ,         ,         ,       ,       ,   ,       ,      ,         ,              ,         ,
File Size         ,sizeInBytes      ,filesize ,       ,      ,         ,         ,       ,       ,   ,       ,      ,         ,              ,         ,
Deleted           ,deleted          ,bool     ,true   ,      ,         ,         ,       ,       ,   ,       ,      ,         ,              ,         ,
