name             ,selector        ,type   ,hidden ,width ,editable ,decimals ,isPill ,align ,cn ,domain ,range ,sortable ,onDisplay     ,onAccept ,onValidate
ID               ,id              ,string ,       ,      ,         ,         ,       ,      ,   ,       ,      ,         ,getFieldValue ,         ,
Status           ,status          ,string ,       ,      ,         ,         ,       ,      ,   ,       ,      ,         ,              ,         ,
Subsystem        ,which           ,string ,       ,      ,         ,         ,       ,      ,   ,       ,      ,         ,              ,         ,
Subsystem Name   ,descr           ,string ,       ,      ,         ,         ,       ,      ,   ,       ,      ,         ,              ,         ,
API Provider     ,apiProvider     ,string ,       ,      ,true     ,         ,       ,      ,   ,       ,      ,         ,              ,         ,
Host             ,host            ,string ,       ,      ,         ,         ,       ,      ,   ,       ,      ,         ,              ,         ,
RPC Provider     ,rpcProvider     ,string ,       ,      ,true     ,         ,       ,      ,   ,       ,      ,         ,              ,         ,
Trace Provider   ,traceProvider   ,string ,       ,      ,true     ,         ,       ,      ,   ,       ,      ,         ,              ,         ,
Balance Provider ,balanceProvider ,string ,       ,      ,true     ,         ,       ,      ,   ,       ,      ,         ,              ,         ,
Cache Path       ,cachePath       ,string ,       ,      ,         ,         ,       ,      ,   ,       ,      ,         ,              ,         ,
Index Path       ,indexPath       ,string ,       ,      ,         ,         ,       ,      ,   ,       ,      ,         ,              ,         ,
Version          ,version         ,string ,       ,      ,         ,         ,       ,      ,   ,       ,      ,         ,              ,         ,
