name             ,selector            ,type        ,hidden ,width ,editable ,decimals ,isPill ,align ,cn ,export ,chart ,searchable ,detail ,sortable ,underField ,onDisplay     ,onAccept ,onValidate
ID               ,id                  ,string      ,       ,      ,         ,         ,       ,      ,   ,       ,      ,true       ,         ,         ,           ,getFieldValue ,         ,
Address          ,address             ,address     ,       ,      ,         ,         ,       ,      ,   ,       ,      ,true       ,         ,         ,           ,              ,         ,
Block Hash       ,blockHash           ,hash        ,       ,      ,         ,         ,       ,      ,   ,       ,      ,true       ,         ,         ,           ,              ,         ,
Block Number     ,blockNumber         ,blknum      ,       ,      ,         ,         ,       ,      ,   ,       ,      ,true       ,         ,         ,           ,              ,         ,
Data             ,data                ,string      ,       ,      ,         ,         ,       ,      ,   ,       ,      ,           ,         ,         ,           ,              ,         ,
Log Index        ,logIndex            ,blknum      ,       ,      ,         ,         ,       ,      ,   ,       ,      ,           ,         ,         ,           ,              ,         ,
Removed          ,removed             ,bool        ,       ,      ,         ,         ,       ,      ,   ,       ,      ,           ,         ,         ,           ,              ,         ,
Topics           ,topics              ,CTopicArray ,       ,      ,         ,         ,       ,      ,   ,       ,      ,true       ,         ,         ,           ,              ,         ,
Articulated Log  ,articulatedLog      ,CFunction   ,       ,      ,         ,         ,       ,      ,   ,       ,      ,true       ,         ,         ,           ,              ,         ,
Compressed Log   ,compressedLog       ,string      ,       ,      ,         ,         ,       ,      ,   ,       ,      ,           ,         ,         ,           ,              ,         ,
Transaction Hash ,transactionHash     ,hash        ,       ,      ,         ,         ,       ,      ,   ,       ,      ,true       ,         ,         ,           ,              ,         ,
Tx Index         ,transactionIndex    ,blknum      ,       ,      ,         ,         ,       ,      ,   ,       ,      ,           ,         ,         ,           ,              ,         ,
Tx Log Index     ,transactionLogIndex ,blknum      ,       ,      ,         ,         ,       ,      ,   ,       ,      ,           ,         ,         ,           ,              ,         ,
Type             ,type                ,string      ,       ,      ,         ,         ,       ,      ,   ,       ,      ,true       ,         ,         ,           ,              ,         ,
