name              ,selector          ,type           ,hidden ,width ,editable ,decimals ,isPill ,align ,cn ,domain ,range ,searchable ,detail ,sortable ,underField ,onDisplay     ,onAccept ,onValidate
ID                ,id                ,string         ,       ,      ,         ,         ,       ,      ,   ,       ,      ,true       ,         ,         ,           ,getFieldValue ,         ,
Block Hash        ,blockHash         ,hash           ,       ,      ,         ,         ,       ,      ,   ,       ,      ,true       ,         ,         ,           ,              ,         ,
Block Number      ,blockNumber       ,blknum         ,       ,      ,         ,         ,       ,      ,   ,       ,      ,true       ,         ,         ,           ,              ,         ,
Contract Address  ,contractAddress   ,address        ,       ,      ,         ,         ,       ,      ,   ,       ,      ,true       ,         ,         ,           ,              ,         ,
Cumulative Gas    ,cumulativeGasUsed ,wei            ,       ,      ,         ,         ,       ,      ,   ,       ,      ,           ,         ,         ,           ,              ,         ,
From              ,from              ,address        ,       ,      ,         ,         ,       ,      ,   ,       ,      ,true       ,         ,         ,           ,              ,         ,
Gas Used          ,gasUsed           ,gas            ,       ,      ,         ,         ,       ,      ,   ,       ,      ,true       ,         ,         ,           ,              ,         ,
Logs              ,logs              ,CLogEntryArray ,       ,      ,         ,         ,       ,      ,   ,       ,      ,           ,         ,         ,           ,              ,         ,
Logs Bloom        ,logsBloom         ,string         ,       ,      ,         ,         ,       ,      ,   ,       ,      ,           ,         ,         ,           ,              ,         ,
Root              ,root              ,bytes32        ,       ,      ,         ,         ,       ,      ,   ,       ,      ,           ,         ,         ,           ,              ,         ,
Status            ,status            ,uint32         ,       ,      ,         ,         ,       ,      ,   ,       ,      ,           ,         ,         ,           ,              ,         ,
To                ,to                ,address        ,       ,      ,         ,         ,       ,      ,   ,       ,      ,true       ,         ,         ,           ,              ,         ,
Transaction Hash  ,transactionHash   ,hash           ,       ,      ,         ,         ,       ,      ,   ,       ,      ,true       ,         ,         ,           ,              ,         ,
Transaction Index ,transactionIndex  ,blknum         ,       ,      ,         ,         ,       ,      ,   ,       ,      ,           ,         ,         ,           ,              ,         ,
