name             ,selector         ,type         ,hidden ,width ,editable ,decimals ,isPill ,align ,cn ,domain ,range ,searchable ,copyable ,sortable ,underField ,onDisplay     ,onAccept ,onValidate
ID               ,id               ,string       ,       ,      ,         ,         ,       ,      ,   ,       ,      ,true       ,         ,         ,           ,getFieldValue ,         ,
blockHash        ,blockHash        ,hash         ,       ,      ,         ,         ,       ,      ,   ,       ,      ,true       ,         ,         ,           ,              ,         ,
blockNumber      ,blockNumber      ,blknum       ,       ,      ,         ,         ,       ,      ,   ,       ,      ,           ,         ,         ,           ,              ,         ,
subtraces        ,subtraces        ,uint64       ,       ,      ,         ,         ,       ,      ,   ,       ,      ,           ,         ,         ,           ,              ,         ,
traceAddress     ,traceAddress     ,CStringArray ,       ,      ,         ,         ,       ,      ,   ,       ,      ,true       ,         ,         ,           ,              ,         ,
transactionHash  ,transactionHash  ,hash         ,       ,      ,         ,         ,       ,      ,   ,       ,      ,true       ,         ,         ,           ,              ,         ,
transactionIndex ,transactionIndex ,blknum       ,       ,      ,         ,         ,       ,      ,   ,       ,      ,           ,         ,         ,           ,              ,         ,
type             ,type             ,string       ,       ,      ,         ,         ,       ,      ,   ,       ,      ,true       ,         ,         ,           ,              ,         ,
error            ,error            ,string       ,       ,      ,         ,         ,       ,      ,   ,       ,      ,           ,         ,         ,           ,              ,         ,
articulatedTrace ,articulatedTrace ,CFunction    ,       ,      ,         ,         ,       ,      ,   ,       ,      ,true       ,         ,         ,           ,              ,         ,
compressedTrace  ,compressedTrace  ,string       ,       ,      ,         ,         ,       ,      ,   ,       ,      ,           ,         ,         ,           ,              ,         ,
action           ,action           ,CTraceAction ,       ,      ,         ,         ,       ,      ,   ,       ,      ,           ,         ,         ,           ,              ,         ,
result           ,result           ,CTraceResult ,       ,      ,         ,         ,       ,      ,   ,       ,      ,           ,         ,         ,           ,              ,         ,
