name             ,selector        ,type   ,hidden ,width ,editable ,decimals ,isPill ,align    ,cn ,domain ,range ,searchable ,detail ,sortable ,underField ,onDisplay     ,onAccept ,onValidate
ID               ,id              ,string ,true   ,      ,         ,         ,       ,         ,   ,       ,      ,true       ,         ,         ,           ,getFieldValue ,         ,
Status           ,status          ,string ,       ,      ,         ,         ,       ,         ,   ,       ,      ,true       ,         ,         ,           ,              ,         ,
Name             ,name            ,string ,       ,      ,         ,         ,       ,         ,   ,       ,      ,true       ,         ,         ,           ,              ,         ,
Subsystem        ,which           ,string ,       ,      ,         ,         ,       ,         ,   ,       ,      ,           ,         ,         ,           ,              ,         ,
Description      ,descr           ,string ,true   ,      ,         ,         ,       ,wordwrap ,   ,       ,      ,true       ,         ,         ,           ,              ,         ,
API Provider     ,apiProvider     ,string ,       ,      ,true     ,         ,       ,         ,   ,       ,      ,           ,         ,         ,           ,              ,         ,
Host             ,host            ,string ,true   ,      ,         ,         ,       ,         ,   ,       ,      ,           ,         ,         ,           ,              ,         ,
Host Env         ,environ         ,string ,       ,      ,         ,         ,       ,         ,   ,       ,      ,           ,         ,         ,           ,              ,         ,
RPC Provider     ,rpcProvider     ,string ,       ,      ,true     ,         ,       ,         ,   ,       ,      ,           ,         ,         ,           ,              ,         ,
Trace Provider   ,traceProvider   ,string ,true   ,      ,true     ,         ,       ,         ,   ,       ,      ,           ,         ,         ,           ,              ,         ,
Balance Provider ,balanceProvider ,string ,true   ,      ,true     ,         ,       ,         ,   ,       ,      ,           ,         ,         ,           ,              ,         ,
Cache Path       ,cachePath       ,string ,true   ,      ,         ,         ,       ,         ,   ,       ,      ,           ,         ,         ,           ,              ,         ,
Index Path       ,indexPath       ,string ,true   ,      ,         ,         ,       ,         ,   ,       ,      ,           ,         ,         ,           ,              ,         ,
Version          ,version         ,string ,true   ,      ,         ,         ,       ,         ,   ,       ,      ,           ,         ,         ,           ,              ,         ,
